,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year,Hedge Strike,Hedge Contract,Hedge Entry Price,Hedge Exit Price,Hedge Points,Hedge PnL,Total PnL,Total ROI%,Index,Cumulative ROI%,Running Max ROI%,Drawdown
0,2016-12-30,18248.2,17831.75,416.4500000000007,18168.45,50%,18376.675000000003,17960.225,high,18000,2017-01-12,2,BANKNIFTY1711218000PE,PE,2017-01-10 09:17:00,15.9,2017-01-12 15:30:00,0.05,Friday Closing,15.85,0.1595,15.6905,476.1470723076943,7546.931096076954,7470.985638043878,0.7546931096076955,0.7470985638043878,2017,17500,BANKNIFTY1711217500PE,1.0,0.05,-0.95,-452.3397186923096,7018.645919351568,0.7018645919351568,BANKNIFTY,0.7018645919351568,0.7018645919351568,0.0
315,2016-12-30,8282.55,8134.3,148.2499999999991,8283.0,40%,8342.3,8223.7,high,8200,2017-01-12,1,NIFTY171128200PE,PE,2017-01-11 09:43:00,,2017-01-12 15:30:00,,Friday Closing,,,,1528.3554894933054,,,,,2017,8050,NIFTY171128050PE,0.0,0.0,0.0,0.0,,,NIFTY,,,
316,2017-01-06,8417.0,8228.0,189.0,8457.65,40%,8533.25,8382.05,low,8550,2017-01-19,6,NIFTY171198550CE,CE,2017-01-13 10:16:00,,2017-01-16 13:17:00,,SL Hit,,,,1494.1552163595345,,,,,2017,8700,NIFTY171198700CE,0.0,0.0,0.0,0.0,,,NIFTY,,,
318,2017-01-13,8460.2,8373.15,87.05000000000109,8404.35,40%,8439.17,8369.53,low,8450,2017-01-25,5,NIFTY17JAN8450CE,CE,2017-01-20 13:05:00,16.85,2017-01-24 14:16:00,29.4,SL Hit,-12.549999999999995,0.4625,-13.012499999999998,1510.8120822308356,-18960.69163199698,-19659.442220028744,-1.8960691631996978,-1.9659442220028744,2017,8600,NIFTY17JAN8600CE,1.6,0.5,-1.1,-1661.8932904539192,-21321.335510482662,-2.132133551048266,NIFTY,-1.4302689591131093,0.7018645919351568,-2.132133551048266
2,2017-01-13,19276.25,18781.6,494.6500000000015,18996.6,50%,19243.925,18749.275,low,19200,2017-01-25,2,BANKNIFTY17JAN19200CE,CE,2017-01-23 09:15:00,15.5,2017-01-25 13:38:00,58.45,SL Hit,-42.95,0.7395,-43.6895,454.6889472911581,-19528.89028615524,-19865.132762677054,-1.952889028615524,-1.9865132762677056,2017,19800,BANKNIFTY17JAN19800CE,2.05,0.1,-1.95,-886.6434472177583,-20751.77620989481,-2.075177620989481,BANKNIFTY,-3.5054465801025905,0.7018645919351568,-4.207311172037747
317,2017-01-13,8460.2,8373.15,87.05000000000109,8404.35,40%,8439.17,8369.53,high,8350,2017-01-25,1,NIFTY17JAN8350PE,PE,2017-01-24 10:51:00,4.05,2017-01-25 15:30:00,0.05,Friday Closing,4.0,0.0409999999999999,3.959,1510.8120822308356,6043.248328923342,5981.305033551878,0.6043248328923342,0.5981305033551878,2017,8200,NIFTY17JAN8200PE,0.85,0.05,-0.7999999999999999,-1208.6496657846683,4772.65536776721,0.477265536776721,NIFTY,-3.0281810433258696,0.7018645919351568,-3.7300456352610265
1,2017-01-13,19276.25,18781.6,494.6500000000015,18996.6,50%,19243.925,18749.275,high,18700,2017-01-25,0,BANKNIFTY17JAN18700PE,PE,2017-01-25 13:05:00,0.3,2017-01-25 15:30:00,0.05,Friday Closing,0.25,0.0034999999999999,0.2465,454.6889472911581,113.67223682278953,112.08082550727048,0.011367223682278953,0.011208082550727047,2017,18100,BANKNIFTY17JAN18100PE,0.1,0.05,-0.05,-22.73444736455791,89.34637814271257,0.008934637814271257,BANKNIFTY,-3.0192464055115984,0.7018645919351568,-3.7211109974467553
3,2017-01-20,19517.7,18725.05,792.6500000000015,19588.4,50%,19984.725,19192.075,high,19200,2017-02-02,1,BANKNIFTY1720219200PE,PE,2017-02-01 14:53:00,1.95,2017-02-02 15:30:00,0.05,Friday Closing,1.9,0.02,1.88,437.8343960199603,831.8853524379246,823.1286645175253,0.08318853524379245,0.08231286645175254,2017,18600,BANKNIFTY1720218600PE,0.8,0.05,-0.75,-328.3757970149702,494.7528675025551,0.04947528675025551,BANKNIFTY,-2.9697711187613427,0.7018645919351568,-3.6716357106964996
319,2017-01-20,8612.15,8328.05,284.1000000000004,8610.5,40%,8724.14,8496.86,high,8500,2017-02-02,0,NIFTY172028500PE,PE,2017-02-02 09:15:00,,2017-02-02 15:30:00,,Friday Closing,,,,1461.462104001082,,,,,2017,8350,NIFTY172028350PE,0.0,0.0,0.0,0.0,,,NIFTY,,,
4,2017-01-27,20145.9,19435.75,710.1500000000015,20061.9,50%,20416.975,19706.825,high,19700,2017-02-09,3,BANKNIFTY1720919700PE,PE,2017-02-06 09:24:00,10.75,2017-02-09 15:30:00,0.05,Friday Closing,10.7,0.108,10.592,428.56495636596514,4585.645033115827,4539.360017828303,0.45856450331158266,0.45393600178283033,2017,19100,BANKNIFTY1720919100PE,1.75,0.1,-1.65,-707.1321780038425,3832.2278398244607,0.3832227839824461,BANKNIFTY,-2.5865483347788967,0.7018645919351568,-3.2884129267140536
