,Unnamed: 0,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Qty,Hedge Strike,Hedge Contract,Hedge Entry Price,Hedge Exit Price,Hedge Points,PnL,Hedge PnL,Total PnL,Total ROI%,Trade Year,ROI%
0,0,2017-01-02,18323.0,17831.75,491.25,18314.25,20%,18412.5,18216.0,high,18200,2017-01-19,9,BANKNIFTY1711918200PE,2017-01-10 15:17:00,93.4,2017-01-13 15:20:00,7.6,Friday Closing,85.80000000000001,325.86558044806515,18000,BANKNIFTY1711918000PE,48.25,4.9,-43.35,27959.26680244399,-14126.272912423625,13832.993890020369,5.5331975560081474,2017,2.795926680244399
1,1,2017-01-09,18965.7,18257.75,707.9500000000007,18899.7,20%,19041.29,18758.11,high,18800,2017-01-25,9,BANKNIFTY17JAN18800PE,2017-01-16 12:54:00,88.85,2017-01-20 15:20:00,107.35,Friday Closing,-18.5,315.10470141466254,18600,BANKNIFTY17JAN18600PE,51.0,56.0,5.0,-5829.436976171257,1575.5235070733129,-4253.9134690979445,-1.7015653876391776,2017,-0.5829436976171257
2,2,2017-01-23,19794.9,18725.05,1069.8500000000022,19718.8,20%,19932.77,19504.83,high,19500,2017-02-09,8,BANKNIFTY1720919500PE,2017-02-01 13:06:00,100.0,2017-02-03 15:20:00,12.8,Friday Closing,87.2,301.0118513382736,19300,BANKNIFTY1720919300PE,60.0,6.45,-53.55,26248.233436697457,-16119.184639164549,10129.048797532909,4.051619519013164,2017,2.6248233436697457
3,3,2017-01-23,19794.9,18725.05,1069.8500000000022,19718.8,20%,19932.77,19504.83,low,19900,2017-02-09,9,BANKNIFTY1720919900CE,2017-01-31 09:25:00,164.0,2017-02-01 13:02:00,197.05,SL Hit,-33.05000000000001,301.0118513382736,20100,BANKNIFTY1720920100CE,111.0,98.0,-13.0,-9948.441686729944,-3913.154067397557,-13861.5957541275,-5.544638301651,2017,-0.9948441686729945
4,4,2017-01-30,20228.95,19435.75,793.2000000000007,20307.15,20%,20465.79,20148.51,low,20500,2017-02-16,8,BANKNIFTY1721620500CE,2017-02-08 14:30:00,83.0,2017-02-08 14:45:00,97.8,SL Hit,-14.799999999999995,293.1721668208264,20700,BANKNIFTY1721620700CE,50.0,50.45,0.4500000000000028,-4338.94806894823,131.9274750693727,-4207.020593878857,-1.6828082375515427,2017,-0.43389480689482296
5,5,2017-02-06,20461.3,20001.1,460.2000000000007,20273.65,20%,20365.69,20181.61,high,20200,2017-02-23,8,BANKNIFTY17FEB20200PE,2017-02-15 09:39:00,108.0,2017-02-17 15:20:00,43.0,Friday Closing,65.0,294.6131459331846,20000,BANKNIFTY17FEB20000PE,61.25,22.2,-39.05,19149.854485657,-11504.64334869086,7645.211136966142,3.0580844547864565,2017,1.9149854485657
6,6,2017-02-06,20461.3,20001.1,460.2000000000007,20273.65,20%,20365.69,20181.61,low,20400,2017-02-23,10,BANKNIFTY17FEB20400CE,2017-02-13 12:15:00,127.7,2017-02-17 09:15:00,299.65,SL Hit,-171.95,294.6131459331846,20600,BANKNIFTY17FEB20600CE,65.15,178.85,113.7,-50658.73044321109,33497.51469260309,-17161.215750608004,-6.864486300243201,2017,-5.065873044321108
7,7,2017-02-13,21031.65,20088.4,943.25,20494.85,20%,20683.5,20306.2,high,20300,2017-03-02,10,BANKNIFTY1730220300PE,2017-02-20 15:16:00,78.0,2017-02-24 15:20:00,18.5,Friday Closing,59.5,290.0863006744506,20100,BANKNIFTY1730220100PE,45.5,11.35,-34.15,17260.13489012981,-9906.447168032488,7353.687722097324,2.941475088838929,2017,1.726013489012981
8,8,2017-02-20,21011.9,20474.85,537.0500000000029,20853.45,20%,20960.86,20746.04,low,21000,2017-03-09,10,BANKNIFTY1730921000CE,2017-02-27 09:35:00,119.9,2017-03-03 15:20:00,20.35,Friday Closing,99.55,286.2477970846616,21200,BANKNIFTY1730921200CE,40.9,6.7,-34.2,28495.968199778068,-9789.674660295426,18706.29353948264,7.482517415793056,2017,2.849596819977807
9,9,2017-02-27,20901.0,20423.7,477.2999999999993,20548.95,20%,20644.41,20453.49,high,20500,2017-03-16,10,BANKNIFTY1731620500PE,2017-03-06 09:30:00,163.85,2017-03-10 15:20:00,120.0,Friday Closing,43.85,290.6355764102728,20300,BANKNIFTY1731620300PE,93.0,64.0,-29.0,12744.37002559046,-8428.43171589791,4315.93830969255,1.72637532387702,2017,1.2744370025590461
10,10,2017-03-13,21316.85,21062.0,254.84999999999852,21202.55,20%,21253.52,21151.58,low,21300,2017-03-30,10,BANKNIFTY17MAR21300CE,2017-03-20 09:16:00,150.95,2017-03-24 15:20:00,69.0,Friday Closing,81.94999999999999,282.3061779883991,21500,BANKNIFTY17MAR21500CE,79.15,23.25,-55.900000000000006,23134.991286149303,-15780.915349551511,7354.075936597792,2.9416303746391166,2017,2.3134991286149305
11,11,2017-03-20,21202.55,20755.15,447.3999999999978,21178.1,20%,21267.58,21088.62,high,21100,2017-04-06,8,BANKNIFTY1740621100PE,2017-03-29 09:15:00,92.0,2017-03-31 15:20:00,34.5,Friday Closing,57.5,282.1195453361408,20900,BANKNIFTY1740620900PE,44.0,14.9,-29.1,16221.873856828097,-8209.678769281698,8012.195087546397,3.204878035018559,2017,1.6221873856828097
12,12,2017-03-20,21202.55,20755.15,447.3999999999978,21178.1,20%,21267.58,21088.62,low,21300,2017-04-06,10,BANKNIFTY1740621300CE,2017-03-27 09:15:00,108.9,2017-03-28 09:15:00,137.9,SL Hit,-29.0,282.1195453361408,21500,BANKNIFTY1740621500CE,60.0,70.05,10.049999999999995,-8181.466814748082,2835.3014306282143,-5346.165384119868,-2.138466153647947,2017,-0.8181466814748082
13,13,2017-03-27,21690.9,20979.7,711.2000000000007,21539.2,20%,21681.44,21396.96,high,21400,2017-04-13,8,BANKNIFTY1741321400PE,2017-04-05 14:33:00,73.35,2017-04-07 15:20:00,108.7,Friday Closing,-35.35000000000001,276.73438664590543,21200,BANKNIFTY1741321200PE,36.1,50.35,14.25,-9782.56056793276,3943.465009704152,-5839.095558228608,-2.335638223291443,2017,-0.978256056793276
14,14,2017-04-10,21786.95,21396.7,390.25,21700.5,20%,21778.55,21622.45,high,21600,2017-04-27,9,BANKNIFTY17APR21600PE,2017-04-18 09:21:00,117.65,2017-04-21 13:18:00,249.5,SL Hit,-131.85,275.5004350611037,21400,BANKNIFTY17APR21400PE,70.3,141.5,71.2,-36324.73236280652,19615.630976350585,-16709.101386455935,-6.683640554582374,2017,-3.6324732362806524
15,15,2017-04-10,21786.95,21396.7,390.25,21700.5,20%,21778.55,21622.45,low,21800,2017-04-27,10,BANKNIFTY17APR21800CE,2017-04-17 09:30:00,149.1,2017-04-18 09:31:00,209.0,SL Hit,-59.900000000000006,275.5004350611037,22000,BANKNIFTY17APR22000CE,78.8,111.6,32.8,-16502.476060160112,9036.4142700042,-7466.061790155911,-2.986424716062364,2017,-1.6502476060160112
16,16,2017-04-17,21947.0,21390.25,556.75,21591.9,20%,21703.25,21480.550000000003,high,21500,2017-05-04,10,BANKNIFTY1750421500PE,2017-04-24 09:20:00,131.0,2017-04-28 15:20:00,4.15,Friday Closing,126.85,276.45629110847455,21300,BANKNIFTY1750421300PE,74.45,2.7,-71.75,35068.48052711,-19835.738887033047,15232.74164007695,6.093096656030781,2017,3.5068480527109998
17,17,2017-04-24,22382.05,21586.15,795.8999999999978,22412.55,20%,22571.73,22253.37,high,22300,2017-05-11,7,BANKNIFTY1751122300PE,2017-05-04 09:15:00,88.0,2017-05-05 15:20:00,43.15,Friday Closing,44.85,265.8192349456599,22100,BANKNIFTY1751122100PE,44.0,20.5,-23.5,11921.992687312846,-6246.752021223007,5675.240666089839,2.270096266435936,2017,1.1921992687312846
18,18,2017-04-24,22382.05,21586.15,795.8999999999978,22412.55,20%,22571.73,22253.37,low,22600,2017-05-11,8,BANKNIFTY1751122600CE,2017-05-03 12:35:00,53.45,2017-05-04 09:15:00,73.9,SL Hit,-20.450000000000003,265.8192349456599,22800,BANKNIFTY1751122800CE,23.35,29.45,6.099999999999998,-5436.003354638746,1621.4973331685248,-3814.5060214702207,-1.5258024085880884,2017,-0.5436003354638747
19,19,2017-05-01,22844.85,22240.6,604.25,22678.45,20%,22799.3,22557.6,high,22600,2017-05-18,10,BANKNIFTY1751822600PE,2017-05-08 10:50:00,96.35,2017-05-12 15:20:00,91.5,Friday Closing,4.849999999999994,263.1659743939507,22400,BANKNIFTY1751822400PE,52.6,36.75,-15.85,1276.3549758106594,-4171.180694144119,-2894.82571833346,-1.157930287333384,2017,0.12763549758106593
20,20,2017-05-08,22977.2,22579.35,397.8500000000022,22735.85,20%,22815.42,22656.28,high,22700,2017-05-25,10,BANKNIFTY17MAY22700PE,2017-05-15 09:24:00,160.7,2017-05-19 15:20:00,77.0,Friday Closing,83.69999999999999,262.9800371853773,22500,BANKNIFTY17MAY22500PE,101.25,46.55,-54.7,22011.42911241608,-14385.008034040138,7626.421078375939,3.050568431350376,2017,2.2011429112416083
21,21,2017-05-08,22977.2,22579.35,397.8500000000022,22735.85,20%,22815.42,22656.28,low,22800,2017-05-25,6,BANKNIFTY17MAY22800CE,2017-05-19 12:07:00,88.0,2017-05-19 15:20:00,138.6,Friday Closing,-50.6,262.9800371853773,23000,BANKNIFTY17MAY23000CE,34.25,48.7,14.450000000000005,-13306.789881580087,3800.0615373287023,-9506.728344251387,-3.802691337700555,2017,-1.3306789881580088
22,22,2017-05-15,22977.65,22630.75,346.90000000000146,22874.8,20%,22944.18,22805.42,high,22800,2017-06-01,7,BANKNIFTY1760122800PE,2017-05-25 14:03:00,121.95,2017-05-26 15:20:00,33.6,Friday Closing,88.35,261.50422460074844,22600,BANKNIFTY1760122600PE,62.2,17.7,-44.5,23103.898243476124,-11636.937994733304,11466.960248742818,4.586784099497128,2017,2.3103898243476126
23,23,2017-05-15,22977.65,22630.75,346.90000000000146,22874.8,20%,22944.18,22805.42,low,22900,2017-06-01,10,BANKNIFTY1760122900CE,2017-05-22 09:43:00,103.7,2017-05-25 14:04:00,143.0,SL Hit,-39.3,261.50422460074844,23100,BANKNIFTY1760123100CE,60.0,66.05,6.049999999999997,-10277.116026809414,1582.1005588345274,-8695.015467974887,-3.478006187189955,2017,-1.0277116026809414
