,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Qty,PnL,ROI%,Trade Year
0,2017-01-02,18323.0,17831.75,491.25,18314.25,50%,18559.875,18068.625,high,18100,2017-01-19,8,BANKNIFTY1711918100PE,2017-01-11 09:36:00,37.4,2017-01-13 15:20:00,6.0,Friday Closing,31.4,323.2780393186915,10150.930434606913,1.0150930434606913,2017
1,2017-01-09,18965.7,18257.75,707.9500000000007,18899.7,50%,19253.675000000003,18545.725,high,18500,2017-01-25,7,BANKNIFTY17JAN18500PE,2017-01-18 10:08:00,13.5,2017-01-20 15:20:00,39.0,Friday Closing,-25.5,311.62881891379175,-7946.534882301689,-0.7946534882301689,2017
2,2017-02-06,20461.3,20001.1,460.2000000000007,20273.65,50%,20503.75,20043.550000000003,high,20000,2017-02-23,6,BANKNIFTY17FEB20000PE,2017-02-17 09:15:00,18.9,2017-02-17 15:20:00,21.0,Friday Closing,-2.1000000000000014,292.62939706151315,-614.5217338291781,-0.06145217338291781,2017
3,2017-02-13,21031.65,20088.4,943.25,20494.85,50%,20966.475,20023.225,high,20000,2017-03-02,7,BANKNIFTY1730220000PE,2017-02-23 12:39:00,10.0,2017-02-24 15:20:00,9.55,Friday Closing,0.4499999999999993,286.17113749450016,128.77701187252487,0.012877701187252488,2017
4,2017-02-20,21011.9,20474.85,537.0500000000029,20853.45,50%,21121.975000000002,20584.925,low,21100,2017-03-09,9,BANKNIFTY1730921100CE,2017-02-28 11:42:00,75.0,2017-03-03 15:20:00,11.35,Friday Closing,63.65,284.0643453086181,18080.69557889354,1.8080695578893542,2017
5,2017-02-27,20901.0,20423.7,477.2999999999993,20548.95,50%,20787.6,20310.300000000003,high,20300,2017-03-16,6,BANKNIFTY1731620300PE,2017-03-10 09:15:00,52.0,2017-03-10 15:20:00,70.05,Friday Closing,-18.049999999999997,288.6336084973735,-5209.83663337759,-0.520983663337759,2017
6,2017-03-13,21316.85,21062.0,254.84999999999854,21202.55,50%,21329.975,21075.125,low,21300,2017-03-30,9,BANKNIFTY17MAR21300CE,2017-03-21 10:29:00,107.3,2017-03-24 15:20:00,69.0,Friday Closing,38.3,281.2942818732793,10773.570995746597,1.0773570995746597,2017
7,2017-03-20,21202.55,20755.15,447.3999999999978,21178.1,50%,21401.799999999996,20954.4,high,21000,2017-04-06,8,BANKNIFTY1740621000PE,2017-03-29 12:46:00,43.2,2017-03-31 15:20:00,21.8,Friday Closing,21.400000000000002,280.3502509134746,5999.495369548357,0.5999495369548358,2017
8,2017-04-10,21786.95,21396.7,390.25,21700.5,50%,21895.625,21505.375,high,21500,2017-04-27,9,BANKNIFTY17APR21500PE,2017-04-18 10:08:00,64.1,2017-04-21 13:18:00,190.05,SL Hit,-125.95000000000002,274.0273456455342,-34513.74418405504,-3.451374418405504,2017
9,2017-04-10,21786.95,21396.7,390.25,21700.5,50%,21895.625,21505.375,low,21900,2017-04-27,8,BANKNIFTY17APR21900CE,2017-04-19 09:52:00,74.25,2017-04-21 15:20:00,29.25,Friday Closing,45.0,274.0273456455342,12331.230554049038,1.2331230554049037,2017
10,2017-04-17,21947.0,21390.25,556.75,21591.9,50%,21870.275,21313.525,high,21300,2017-05-04,10,BANKNIFTY1750421300PE,2017-04-24 13:23:00,40.6,2017-04-28 15:20:00,2.2,Friday Closing,38.4,274.344972799839,10534.846955513818,1.053484695551382,2017
11,2017-04-24,22382.05,21586.15,795.8999999999978,22412.55,50%,22810.5,22014.6,high,22000,2017-05-11,6,BANKNIFTY1751122000PE,2017-05-05 09:15:00,10.65,2017-05-05 15:20:00,13.75,Friday Closing,-3.0999999999999996,263.03675938712433,-815.4139541000853,-0.08154139541000854,2017
12,2017-05-08,22977.2,22579.35,397.8500000000022,22735.85,50%,22934.775,22536.924999999996,high,22500,2017-05-25,9,BANKNIFTY17MAY22500PE,2017-05-16 14:14:00,50.6,2017-05-19 15:20:00,37.65,Friday Closing,12.950000000000003,261.6114611981151,3387.868422515591,0.33878684225155914,2017
13,2017-05-15,22977.65,22630.75,346.90000000000146,22874.8,50%,23048.25,22701.35,high,22700,2017-06-01,7,BANKNIFTY1760122700PE,2017-05-25 14:13:00,73.85,2017-05-26 15:20:00,22.1,Friday Closing,51.74999999999999,260.32345188897204,13471.738635254302,1.3471738635254302,2017
14,2017-05-15,22977.65,22630.75,346.90000000000146,22874.8,50%,23048.25,22701.35,low,23000,2017-06-01,10,BANKNIFTY1760123000CE,2017-05-22 13:40:00,57.0,2017-05-25 14:04:00,100.55,SL Hit,-43.55,260.32345188897204,-11337.086329764732,-1.1337086329764734,2017
15,2017-05-29,23469.45,23095.0,374.4500000000007,23397.4,50%,23584.625,23210.175000000003,high,23200,2017-06-15,8,BANKNIFTY1761523200PE,2017-06-07 15:18:00,32.85,2017-06-09 15:20:00,14.0,Friday Closing,18.85,254.403027396026,4795.497066415091,0.4795497066415091,2017
16,2017-06-05,23706.65,23350.35,356.3000000000029,23610.15,50%,23788.300000000003,23432.0,low,23800,2017-06-22,8,BANKNIFTY1762223800CE,2017-06-14 09:54:00,45.8,2017-06-16 15:20:00,16.1,Friday Closing,29.699999999999996,252.22483321632902,7491.077546524971,0.7491077546524971,2017
17,2017-06-12,23628.2,23311.9,316.2999999999993,23571.35,50%,23729.5,23413.199999999997,high,23400,2017-06-29,10,BANKNIFTY17JUN23400PE,2017-06-19 14:21:00,69.65,2017-06-23 15:20:00,64.55,Friday Closing,5.1000000000000085,252.84982827282496,1289.5341241914095,0.12895341241914096,2017
18,2017-06-19,23896.9,23507.7,389.2000000000007,23636.95,50%,23831.550000000003,23442.35,low,23800,2017-07-06,9,BANKNIFTY1770623800CE,2017-06-27 09:40:00,73.45,2017-06-30 15:20:00,7.7,Friday Closing,65.75,251.767090264796,16553.686184910337,1.655368618491034,2017
19,2017-07-03,23540.15,23144.5,395.65000000000146,23449.15,50%,23646.975000000002,23251.325,high,23300,2017-07-20,10,BANKNIFTY1772023300PE,2017-07-10 12:30:00,85.0,2017-07-14 15:20:00,9.9,Friday Closing,75.1,253.73224270757675,19055.291427339012,1.9055291427339012,2017
20,2017-07-10,23962.1,23449.15,512.9499999999971,24011.4,50%,24267.875,23754.925000000003,high,23800,2017-07-27,7,BANKNIFTY17JUL23800PE,2017-07-20 11:03:00,34.95,2017-07-21 15:20:00,18.7,Friday Closing,16.250000000000004,247.24043617333615,4017.657087816713,0.4017657087816713,2017
21,2017-07-17,24299.6,23914.4,385.1999999999971,24307.7,50%,24500.3,24115.100000000002,high,24100,2017-08-03,9,BANKNIFTY1780324100PE,2017-07-25 09:15:00,43.05,2017-07-28 15:20:00,7.55,Friday Closing,35.5,244.8949604698718,8693.771096680448,0.8693771096680448,2017
22,2017-07-31,25196.45,24593.35,603.1000000000022,24854.15,50%,25155.700000000004,24552.6,low,25200,2017-08-17,9,BANKNIFTY1781725200CE,2017-08-08 10:16:00,30.05,2017-08-11 15:20:00,1.95,Friday Closing,28.1,238.51453149783146,6702.2583350890645,0.6702258335089064,2017
23,2017-08-14,24495.2,23926.0,569.2000000000007,24140.55,50%,24425.15,23855.949999999997,low,24400,2017-08-31,9,BANKNIFTY17AUG24400CE,2017-08-22 09:43:00,67.85,2017-08-25 15:20:00,131.0,Friday Closing,-63.150000000000006,245.648440234758,-15512.699000824969,-1.551269900082497,2017
24,2017-08-28,24494.15,24105.75,388.40000000000146,24456.3,50%,24650.5,24262.1,low,24700,2017-09-14,10,BANKNIFTY1791424700CE,2017-09-04 11:45:00,56.2,2017-09-08 15:20:00,18.85,Friday Closing,37.35,243.40277073487354,9091.093486947528,0.9091093486947528,2017
25,2017-09-04,24456.3,24151.9,304.3999999999978,24468.5,50%,24620.699999999997,24316.300000000003,high,24300,2017-09-21,10,BANKNIFTY1792124300PE,2017-09-11 11:31:00,80.1,2017-09-15 15:20:00,19.5,Friday Closing,60.599999999999994,243.69737659774094,14768.0610218231,1.4768061021823098,2017
26,2017-09-11,24993.1,24458.85,534.25,24948.15,50%,25215.275,24681.025,low,25200,2017-09-28,6,BANKNIFTY17SEP25200CE,2017-09-22 09:15:00,13.3,2017-09-22 15:20:00,4.7,Friday Closing,8.600000000000001,237.95100390537084,2046.3786335861896,0.20463786335861894,2017
27,2017-09-18,25104.9,24341.35,763.5500000000029,24361.55,50%,24743.325,23979.774999999998,low,24700,2017-10-05,8,BANKNIFTY17100524700CE,2017-09-27 10:41:00,18.65,2017-09-29 15:20:00,5.0,Friday Closing,13.649999999999999,242.4896411456423,3309.9836016380173,0.3309983601638017,2017
28,2017-10-02,24238.6,24008.05,230.54999999999927,24209.55,50%,24324.824999999997,24094.275,high,24100,2017-10-19,9,BANKNIFTY17101924100PE,2017-10-10 09:21:00,,2017-10-12 09:25:00,,SL Hit,,246.66158954894848,,,2017
29,2017-10-02,24238.6,24008.05,230.54999999999927,24209.55,50%,24324.824999999997,24094.275,low,24300,2017-10-19,8,BANKNIFTY17101924300CE,2017-10-11 14:08:00,,2017-10-12 14:31:00,,SL Hit,,246.66158954894848,,,2017
30,2017-10-09,24778.55,23978.6,799.9500000000007,24815.4,50%,25215.375,24415.425000000003,low,25200,2017-10-26,8,BANKNIFTY17OCT25200CE,2017-10-18 09:15:00,17.65,2017-10-20 15:20:00,4.3,Friday Closing,13.349999999999998,237.950060231109,3176.6333040853046,0.3176633304085305,2017
31,2017-10-16,24877.05,23924.1,952.9500000000007,24085.45,50%,24561.925000000003,23608.975,high,23600,2017-11-02,8,BANKNIFTY17110223600PE,2017-10-25 09:15:00,12.7,2017-10-27 15:20:00,5.55,Friday Closing,7.1499999999999995,244.2805276866532,1746.6057729595702,0.17466057729595702,2017
32,2017-10-23,25177.35,23914.05,1263.2999999999993,24873.65,50%,25505.300000000003,24242.0,high,24200,2017-11-09,8,BANKNIFTY17110924200PE,2017-11-01 12:44:00,16.1,2017-11-03 15:20:00,3.8,Friday Closing,12.3,235.24522354177364,2893.516249563816,0.2893516249563816,2017
33,2017-10-30,25691.55,24813.6,877.9500000000007,25569.0,50%,26007.975,25130.025,low,26000,2017-11-16,8,BANKNIFTY17111626000CE,2017-11-08 15:04:00,22.5,2017-11-10 15:20:00,21.0,Friday Closing,1.5,230.69846845054258,346.04770267581387,0.03460477026758139,2017
