,Week,Week High,Week Low,Weekly Range,Current Week Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year,Hedge Strike,Hedge Contract,Hedge Entry Price,Hedge Exit Price,Hedge Points,Hedge PnL,Total PnL,Total ROI%
0,2023-09-05,9208.2,8971.75,236.45000000000073,9241.3,50%,9359.525,9123.074999999999,low,9350,2023-09-18,6,MIDCPNIFTY239189350CE,CE,2023-09-12 09:40:00,10.8,2023-09-18 15:30:00,0.05,Expiry Closing,10.75,0.10850000000000001,10.6415,4010.6951871657757,43114.97326203209,42679.812834224605,1.4371657754010696,1.4226604278074868,2023,9525,MIDCPNIFTY239189525CE,3.45,0.05,-3.4000000000000004,-13636.363636363638,29043.449197860966,2.9043449197860967
1,2023-09-19,9206.3,8975.55,230.75,9186.95,50%,9302.325,9071.575,low,9300,2023-09-29,1,MIDCPNIFTY23SEP9300CE,CE,2023-09-28 13:14:00,3.75,2023-09-29 15:30:00,0.05,Expiry Closing,3.7,0.038,3.6620000000000004,4032.258064516129,14919.354838709678,14766.129032258064,0.49731182795698925,0.4922043010752688,2023,9475,MIDCPNIFTY23SEP9475CE,1.35,0.05,-1.3,-5241.935483870968,9524.193548387097,0.9524193548387097
2,2023-09-26,9217.45,8997.75,219.70000000000073,9112.9,50%,9222.75,9003.05,low,9225,2023-10-09,5,MIDCPNIFTY2310099225CE,CE,2023-10-04 11:49:00,7.8,2023-10-09 15:30:00,0.05,Expiry Closing,7.75,0.0785,7.6715,4065.040650406504,31504.065040650406,31184.959349593497,1.0501355013550135,1.0394986449864498,2023,9400,MIDCPNIFTY2310099400CE,2.25,0.05,-2.2,-8943.08943089431,22241.869918699187,2.2241869918699186
3,2023-10-03,9130.55,8932.35,198.1999999999989,9057.25,50%,9156.349999999999,8958.150000000001,high,8950,2023-10-16,5,MIDCPNIFTY2310168950PE,PE,2023-10-11 09:15:00,13.7,2023-10-16 15:30:00,0.05,Friday Closing,13.649999999999999,0.1375,13.5125,4189.944134078212,57192.737430167595,56616.62011173184,1.906424581005586,1.887220670391061,2023,8775,MIDCPNIFTY2310168775PE,4.15,0.05,-4.1000000000000005,-17178.770949720674,39437.84916201117,3.9437849162011167
4,2023-10-10,9222.5,9051.7,170.79999999999927,9206.85,50%,9292.25,9121.45,low,9300,2023-10-23,5,MIDCPNIFTY2310239300CE,CE,2023-10-18 11:12:00,7.25,2023-10-23 15:30:00,0.1,Expiry Closing,7.15,0.0735,7.0765,4032.258064516129,28830.645161290322,28534.274193548386,0.9610215053763441,0.9511424731182795,2023,9475,MIDCPNIFTY2310239475CE,1.55,0.1,-1.45,-5846.774193548386,22687.5,2.26875
5,2023-10-17,9213.75,8816.45,397.2999999999993,8863.25,50%,9061.9,8664.6,low,9050,2023-10-30,4,MIDCPNIFTY23OCT9050CE,CE,2023-10-26 09:22:00,4.25,2023-10-30 15:30:00,0.05,Expiry Closing,4.2,0.043,4.157,4143.646408839779,17403.31491712707,17225.13812154696,0.5801104972375691,0.574171270718232,2023,9225,MIDCPNIFTY23OCT9225CE,1.85,0.05,-1.8,-7458.563535911602,9766.574585635357,0.9766574585635357
6,2023-10-24,8922.05,8576.5,345.5499999999993,8767.25,50%,8940.025,8594.475,high,8600,2023-11-06,0,MIDCPNIFTY2311068600PE,PE,2023-11-06 09:15:00,0.15,2023-11-06 15:30:00,0.05,Friday Closing,0.09999999999999999,0.002,0.09799999999999999,4360.46511627907,436.0465116279069,427.32558139534876,0.01453488372093023,0.014244186046511627,2023,8425,MIDCPNIFTY2311068425PE,0.1,0.05,-0.05,-218.02325581395348,209.30232558139528,0.020930232558139528
7,2023-10-31,8973.55,8710.3,263.25,8981.85,50%,9113.475,8850.225,high,8850,2023-11-13,4,MIDCPNIFTY2311138850PE,PE,2023-11-09 09:36:00,2.8,2023-11-13 15:30:00,0.05,Friday Closing,2.75,0.028499999999999998,2.7215,4237.28813559322,11652.542372881357,11531.779661016948,0.38841807909604525,0.38439265536723166,2023,8675,MIDCPNIFTY2311138675PE,0.9,0.05,-0.85,-3601.6949152542375,7930.084745762711,0.793008474576271
8,2023-11-07,9272.7,8923.8,348.90000000000146,9323.55,50%,9498.0,9149.099999999999,high,9150,2023-11-20,0,MIDCPNIFTY2311209150PE,PE,2023-11-20 10:20:00,0.1,2023-11-20 15:30:00,0.05,Friday Closing,0.05,0.0015000000000000002,0.0485,4098.360655737704,204.91803278688522,198.77049180327867,0.006830601092896175,0.006625683060109289,2023,8975,MIDCPNIFTY2311208975PE,0.05,0.05,0.0,0.0,198.77049180327867,0.019877049180327868
9,2023-11-21,9533.6,9437.55,96.05000000000109,9525.35,50%,9573.375,9477.325,high,9475,2023-12-04,5,MIDCPNIFTY2312049475PE,PE,2023-11-29 09:15:00,18.5,2023-12-04 15:30:00,0.05,Friday Closing,18.45,0.1855,18.264499999999998,3957.7836411609496,73021.10817941952,72286.93931398416,2.434036939313984,2.409564643799472,2023,9275,MIDCPNIFTY2312049275PE,3.4,0.05,-3.35,-13258.575197889182,59028.36411609498,5.902836411609498
10,2023-12-05,10031.05,9798.8,232.25,10041.85,50%,10157.975,9925.725,high,9925,2023-12-18,4,MIDCPNIFTY2312189925PE,PE,2023-12-14 09:15:00,6.0,2023-12-18 15:30:00,0.05,Friday Closing,5.95,0.0605,5.8895,3778.337531486146,22481.10831234257,22252.518891687658,0.7493702770780857,0.7417506297229218,2023,9725,MIDCPNIFTY2312189725PE,1.5,0.05,-1.45,-5478.589420654912,16773.929471032745,1.6773929471032745
11,2023-12-05,10031.05,9798.8,232.25,10041.85,50%,10157.975,9925.725,low,10150,2023-12-18,6,MIDCPNIFTY23121810150CE,CE,2023-12-12 14:52:00,13.65,2023-12-13 13:36:00,23.25,SL Hit,-9.6,0.369,-9.969,3694.5812807881775,-35467.9802955665,-36831.28078817734,-1.1822660098522166,-1.2277093596059112,2023,10350,MIDCPNIFTY23121810350CE,3.4,3.0,-0.3999999999999999,-1477.8325123152706,-38309.11330049261,-3.8309113300492608
12,2023-12-12,10335.4,9916.45,418.9499999999989,10324.85,50%,10534.325,10115.375,low,10525,2023-12-22,2,MIDCPNIFTY23122210525CE,CE,2023-12-20 13:36:00,7.05,2023-12-22 15:30:00,0.05,Expiry Closing,7.0,0.071,6.929,3562.945368171021,24940.617577197147,24687.648456057006,0.831353919239905,0.8229216152019002,2023,10725,MIDCPNIFTY23122210725CE,2.4,0.05,-2.35,-8372.9216152019,16314.726840855106,1.6314726840855107
13,2023-12-26,10441.45,10236.7,204.75,10437.05,50%,10539.425,10334.675,high,10325,2024-01-08,4,MIDCPNIFTY2410810325PE,PE,2024-01-04 14:47:00,6.6,2024-01-08 15:30:00,0.05,Friday Closing,6.55,0.06649999999999999,6.4835,3631.9612590799034,23789.346246973368,23547.820823244554,0.7929782082324454,0.7849273607748185,2024,10125,MIDCPNIFTY2410810125PE,1.6,0.1,-1.5,-5447.941888619855,18099.8789346247,1.80998789346247
14,2023-12-26,10441.45,10236.7,204.75,10437.05,50%,10539.425,10334.675,low,10550,2024-01-08,6,MIDCPNIFTY2410810550CE,CE,2024-01-02 10:25:00,28.6,2024-01-04 09:16:00,22.55,SL Hit,6.050000000000001,0.5115000000000001,5.538500000000001,3554.5023696682465,21504.739336492894,19686.611374407585,0.716824644549763,0.6562203791469194,2024,10750,MIDCPNIFTY2410810750CE,5.65,1.8,-3.8500000000000005,-13684.83412322275,6001.777251184834,0.6001777251184834
15,2024-01-02,10605.45,10247.9,357.5500000000011,10552.15,50%,10730.925,10373.375,low,10725,2024-01-15,5,MIDCPNIFTY2411510725CE,CE,2024-01-10 09:24:00,6.9,2024-01-15 09:15:00,1.2,SL Hit,5.7,0.081,5.619,3496.5034965034965,19930.06993006993,19646.853146853147,0.6643356643356644,0.6548951048951049,2024,10950,MIDCPNIFTY2411510950CE,2.45,0.1,-2.35,-8216.783216783217,11430.06993006993,1.143006993006993
16,2024-01-09,10669.5,10306.8,362.7000000000007,10665.55,50%,10846.9,10484.199999999999,low,10850,2024-01-22,6,MIDCPNIFTY2412210850CE,CE,2024-01-16 13:37:00,11.5,2024-01-20 09:15:00,0.65,SL Hit,10.85,0.12150000000000001,10.7285,3456.221198156682,37500.0,37080.069124423964,1.25,1.2360023041474655,2024,11075,MIDCPNIFTY2412211075CE,3.8,0.2,-3.5999999999999996,-12442.396313364054,24637.67281105991,2.463767281105991
17,2024-01-16,10687.8,10176.7,511.09999999999854,10724.95,50%,10980.5,10469.400000000001,low,10975,2024-01-29,6,MIDCPNIFTY24JAN10975CE,CE,2024-01-23 11:58:00,8.2,2024-01-29 15:24:00,0.05,SL Hit,8.149999999999999,0.0825,8.067499999999999,3416.8564920273348,27847.38041002277,27565.48974943052,0.9282460136674258,0.9188496583143507,2024,11200,MIDCPNIFTY24JAN11200CE,2.55,0.05,-2.5,-8542.141230068337,19023.348519362182,1.902334851936218
18,2024-01-30,10822.3,10542.7,279.59999999999854,10804.1,50%,10943.9,10664.300000000001,high,10675,2024-02-12,4,MIDCPNIFTY2421210675PE,PE,2024-02-08 09:15:00,32.8,2024-02-12 15:30:00,3.9,Friday Closing,28.9,0.36699999999999994,28.532999999999998,3512.88056206089,101522.24824355972,100233.02107728337,3.384074941451991,3.341100702576112,2024,10450,MIDCPNIFTY2421210450PE,6.4,0.05,-6.3500000000000005,-22306.791569086654,77926.22950819672,7.7926229508196725
19,2024-01-30,10822.3,10542.7,279.59999999999854,10804.1,50%,10943.9,10664.300000000001,low,10950,2024-02-12,3,MIDCPNIFTY2421210950CE,CE,2024-02-09 10:01:00,3.6,2024-02-12 15:30:00,0.05,Expiry Closing,3.5500000000000003,0.0365,3.5135,3424.657534246575,12157.534246575342,12032.53424657534,0.40525114155251135,0.40108447488584476,2024,11175,MIDCPNIFTY2421211175CE,0.6,0.05,-0.5499999999999999,-1883.561643835616,10148.972602739725,1.0148972602739723
20,2024-02-06,10946.2,10591.35,354.85000000000036,10702.25,50%,10879.675,10524.825,high,10525,2024-02-19,4,MIDCPNIFTY2421910525PE,PE,2024-02-15 13:16:00,9.8,2024-02-19 15:30:00,0.05,Friday Closing,9.75,0.09850000000000002,9.6515,3562.945368171021,34738.717339667455,34387.76722090261,1.157957244655582,1.1462589073634204,2024,10325,MIDCPNIFTY2421910325PE,3.3,0.05,-3.25,-11579.572446555818,22808.194774346797,2.28081947743468
21,2024-02-20,11119.85,10784.8,335.0500000000011,11012.6,50%,11180.125,10845.075,low,11175,2024-03-04,5,MIDCPNIFTY2430411175CE,CE,2024-02-28 11:44:00,26.5,2024-03-04 15:30:00,0.05,Expiry Closing,26.45,0.2655,26.1845,3355.7046979865772,88758.38926174496,87867.44966442953,2.9586129753914987,2.928914988814318,2024,11400,MIDCPNIFTY2430411400CE,6.65,0.05,-6.6000000000000005,-22147.65100671141,65719.79865771811,6.571979865771811
22,2024-02-27,11088.0,10652.55,435.4500000000007,10995.4,50%,11213.125,10777.675,low,11225,2024-03-11,5,MIDCPNIFTY2431111225CE,CE,2024-03-06 09:57:00,5.0,2024-03-11 15:30:00,0.05,Expiry Closing,4.95,0.050499999999999996,4.8995,3340.7572383073493,16536.74832962138,16368.040089086857,0.5512249443207126,0.5456013363028952,2024,11450,MIDCPNIFTY2431111450CE,1.45,0.05,-1.4,-4677.060133630289,11690.979955456569,1.1690979955456569
23,2024-03-05,11018.15,10720.75,297.39999999999964,10854.85,50%,11003.55,10706.150000000001,low,11000,2024-03-18,6,MIDCPNIFTY2431811000CE,CE,2024-03-12 11:58:00,23.0,2024-03-18 15:30:00,0.05,Expiry Closing,22.95,0.2305,22.7195,3409.090909090909,78238.63636363635,77452.84090909091,2.6079545454545454,2.5817613636363634,2024,11225,MIDCPNIFTY2431811225CE,4.65,0.05,-4.6000000000000005,-15681.818181818184,61771.02272727273,6.177102272727272
