Month,Month High,Month Low,Monthly Range,Current Month Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year
2017-01-31,19794.9,17831.75,1963.1500000000015,19522.4,35%,20209.502500000002,18835.2975,high,18800,2017-02-23,20,BANKNIFTY17FEB18800PE,PE,2017-02-03 14:13:00,24.25,2017-02-23 15:30:00,0.05,Expiry Closing,24.2,0.24300000000000002,23.957,372.3404255319149,9010.63829787234,8920.159574468085,0.901063829787234,0.8920159574468086,2017
2017-02-28,21031.65,19471.4,1560.25,20698.9,35%,21244.987500000003,20152.8125,high,20200,2017-03-30,16,BANKNIFTY17MAR20200PE,PE,2017-03-14 09:15:00,38.0,2017-03-30 15:30:00,0.05,Expiry Closing,37.95,0.3805,37.569500000000005,346.53465346534654,13150.990099009901,13019.133663366338,1.3150990099009903,1.3019133663366338,2017
2017-03-31,21690.9,20423.7,1267.2000000000007,21539.2,35%,21982.72,21095.68,high,21100,2017-04-27,2,BANKNIFTY17APR21100PE,PE,2017-04-25 12:41:00,3.8,2017-04-27 15:30:00,0.05,Expiry Closing,3.75,0.0385,3.7115,331.7535545023697,1244.0758293838865,1231.3033175355451,0.12440758293838865,0.12313033175355452,2017
2017-04-30,22382.05,21390.25,991.7999999999993,22412.55,35%,22759.68,22065.42,high,22100,2017-05-25,20,BANKNIFTY17MAY22100PE,PE,2017-05-05 09:15:00,103.7,2017-05-25 15:30:00,0.15,Expiry Closing,103.55,1.0385000000000002,102.5115,316.7420814479638,32798.642533936654,32469.70588235294,3.2798642533936655,3.246970588235294,2017
2017-05-31,23469.45,22240.6,1228.8500000000022,23394.1,35%,23824.1975,22964.0025,high,23000,2017-06-29,7,BANKNIFTY17JUN23000PE,PE,2017-06-22 10:42:00,7.35,2017-06-29 15:30:00,0.05,Expiry Closing,7.3,0.074,7.226,304.3478260869565,2221.7391304347825,2199.2173913043475,0.22217391304347825,0.21992173913043475,2017
2017-06-30,23896.9,22998.05,898.8500000000022,23240.35,35%,23554.9475,22925.7525,high,22900,2017-07-27,17,BANKNIFTY17JUL22900PE,PE,2017-07-10 09:15:00,123.15,2017-07-27 15:30:00,0.05,Expiry Closing,123.10000000000001,1.232,121.86800000000001,305.6768558951965,37628.82096069869,37252.227074235816,3.7628820960698692,3.7252227074235815,2017
2017-07-31,25134.2,23144.5,1989.7000000000007,25152.85,35%,25849.245,24456.454999999998,low,25800,2017-08-31,22,BANKNIFTY17AUG25800CE,CE,2017-08-09 09:20:00,22.2,2017-08-31 15:30:00,0.05,Expiry Closing,22.15,0.2225,21.9275,271.3178294573643,6009.689922480619,5949.321705426356,0.6009689922480619,0.5949321705426356,2017
2017-08-31,25196.45,23854.6,1341.8500000000022,24389.2,35%,24858.8475,23919.5525,high,23900,2017-09-28,15,BANKNIFTY17SEP23900PE,PE,2017-09-13 10:02:00,31.05,2017-09-27 14:08:00,111.9,SL Hit,-80.85000000000001,1.4295000000000002,-82.27950000000001,292.88702928870293,-23679.916317991636,-24098.598326359835,-2.3679916317991636,-2.4098598326359832,2017
2017-08-31,25196.45,23854.6,1341.8500000000022,24389.2,35%,24858.8475,23919.5525,low,24900,2017-09-28,1,BANKNIFTY17SEP24900CE,CE,2017-09-27 12:33:00,1.6,2017-09-28 15:30:00,0.1,Expiry Closing,1.5,0.017,1.483,281.12449799196787,421.6867469879518,416.90763052208837,0.04216867469879518,0.04169076305220883,2017
2017-09-30,25104.9,23613.2,1491.7000000000007,24200.6,35%,24722.695,23678.504999999997,high,23700,2017-10-26,13,BANKNIFTY17OCT23700PE,PE,2017-10-13 13:09:00,26.55,2017-10-26 15:30:00,0.05,Expiry Closing,26.5,0.266,26.234,295.3586497890295,7827.004219409282,7748.438818565402,0.7827004219409283,0.7748438818565401,2017
2017-10-31,25177.35,23914.05,1263.2999999999993,25197.3,35%,25639.454999999998,24755.145,high,24800,2017-11-30,27,BANKNIFTY17NOV24800PE,PE,2017-11-03 13:58:00,123.0,2017-11-30 15:30:00,0.05,Expiry Closing,122.95,1.2305,121.7195,282.258064516129,34703.62903225807,34356.31048387096,3.470362903225807,3.4356310483870964,2017
2017-11-30,25953.5,25120.25,833.25,25409.55,35%,25701.1875,25117.9125,high,25100,2017-12-28,10,BANKNIFTY17DEC25100PE,PE,2017-12-18 10:10:00,90.8,2017-12-28 15:30:00,0.05,Expiry Closing,90.75,0.9085,89.8415,278.8844621513944,25308.76494023904,25055.3984063745,2.530876494023904,2.50553984063745,2017
2017-11-30,25953.5,25120.25,833.25,25409.55,35%,25701.1875,25117.9125,low,25700,2017-12-28,24,BANKNIFTY17DEC25700CE,CE,2017-12-04 09:24:00,177.4,2017-12-28 15:30:00,0.05,Expiry Closing,177.35,1.7745000000000002,175.5755,272.3735408560311,48305.44747081712,47822.120622568094,4.830544747081712,4.782212062256809,2017
2017-12-31,25779.05,24617.15,1161.8999999999978,25565.75,35%,25972.415,25159.085,high,25200,2018-01-25,10,BANKNIFTY18JAN25200PE,PE,2018-01-15 10:02:00,32.95,2018-01-25 15:30:00,0.05,Expiry Closing,32.900000000000006,0.33,32.57000000000001,277.77777777777777,9138.88888888889,9047.222222222224,0.913888888888889,0.9047222222222224,2018
2018-01-31,27651.35,25234.65,2416.699999999997,27334.85,35%,28180.694999999996,26489.005,low,28200,2018-02-22,20,BANKNIFTY18FEB28200CE,CE,2018-02-02 15:03:00,26.0,2018-02-22 15:30:00,0.05,Expiry Closing,25.95,0.2605,25.6895,248.22695035460993,6441.489361702127,6376.826241134751,0.6441489361702127,0.6376826241134751,2018
2018-02-28,27612.4,24782.1,2830.300000000003,25022.35,35%,26012.954999999998,24031.745,low,26000,2018-03-28,5,BANKNIFTY18MAR26000CE,CE,2018-03-23 09:15:00,1.25,2018-03-28 15:30:00,0.05,Expiry Closing,1.2,0.013000000000000001,1.187,269.2307692307692,323.07692307692304,319.5769230769231,0.03230769230769231,0.03195769230769231,2018
2018-03-31,25225.3,23605.9,1619.3999999999978,24235.65,35%,24802.440000000002,23668.86,high,23700,2018-04-26,21,BANKNIFTY18APR23700PE,PE,2018-04-05 15:22:00,98.0,2018-04-26 15:30:00,0.05,Expiry Closing,97.95,0.9805,96.9695,295.3586497890295,28930.379746835442,28640.7805907173,2.893037974683544,2.86407805907173,2018
2018-04-30,25616.5,24065.45,1551.0499999999993,25607.05,35%,26149.9175,25064.1825,high,25100,2018-05-31,22,BANKNIFTY18MAY25100PE,PE,2018-05-09 13:05:00,120.45,2018-05-31 15:30:00,0.05,Expiry Closing,120.4,1.205,119.19500000000001,278.8844621513944,33577.68924302789,33241.63346613546,3.357768924302789,3.3241633466135463,2018
2018-05-31,27162.65,25469.9,1692.75,26913.4,35%,27505.862500000003,26320.9375,low,27500,2018-06-28,24,BANKNIFTY18JUN27500CE,CE,2018-06-04 14:09:00,66.5,2018-06-28 15:30:00,0.1,Expiry Closing,66.4,0.6659999999999999,65.73400000000001,254.54545454545453,16901.818181818184,16732.29090909091,1.6901818181818185,1.6732290909090908,2018
2018-06-30,27031.55,26072.6,958.9500000000007,26364.45,35%,26700.0825,26028.8175,high,26000,2018-07-26,17,BANKNIFTY18JUL26000PE,PE,2018-07-09 11:44:00,93.5,2018-07-26 15:30:00,0.05,Expiry Closing,93.45,0.9355,92.5145,269.2307692307692,25159.615384615387,24907.75,2.5159615384615384,2.490775,2018
2018-07-31,27870.55,26061.75,1808.7999999999993,27684.8,35%,28317.879999999997,27051.72,high,27100,2018-08-30,21,BANKNIFTY18AUG27100PE,PE,2018-08-09 10:37:00,53.9,2018-08-30 15:30:00,0.05,Expiry Closing,53.85,0.5395,53.310500000000005,258.30258302583024,13909.59409594096,13770.239852398525,1.390959409594096,1.3770239852398525,2018
2018-08-31,28386.7,27330.45,1056.25,28199.45,35%,28569.1375,27829.7625,low,28600,2018-09-27,24,BANKNIFTY18SEP28600CE,CE,2018-09-03 15:06:00,148.0,2018-09-27 15:30:00,0.55,Expiry Closing,147.45,1.4855,145.9645,244.75524475524475,36089.16083916083,35725.57692307692,3.6089160839160828,3.572557692307692,2018
2018-10-31,25903.15,24244.85,1658.300000000003,25285.2,35%,25865.605000000003,24704.795,high,24700,2018-11-29,17,BANKNIFTY18NOV24700PE,PE,2018-11-12 09:20:00,79.0,2018-11-29 15:30:00,0.05,Expiry Closing,78.95,0.7905,78.15950000000001,283.4008097165992,22374.49392712551,22150.46558704454,2.237449392712551,2.215046558704454,2018
2018-11-30,27012.3,25129.45,1882.8499999999985,27032.9,35%,27691.8975,26373.902500000004,low,27700,2018-12-27,21,BANKNIFTY18DEC27700CE,CE,2018-12-06 09:15:00,51.8,2018-12-17 10:39:00,56.4,SL Hit,-4.600000000000001,1.0819999999999999,-5.682000000000001,252.70758122743683,-1162.4548736462098,-1435.8844765342965,-0.11624548736462098,-0.14358844765342965,2018
2018-12-31,27368.9,25601.75,1767.1500000000015,27231.4,35%,27849.902500000004,26612.8975,low,27800,2019-01-31,3,BANKNIFTY19JAN27800CE,CE,2019-01-28 13:35:00,10.05,2019-01-31 15:30:00,0.05,Expiry Closing,10.0,0.10100000000000002,9.899,251.79856115107913,2517.9856115107914,2492.553956834532,0.2517985611510791,0.2492553956834532,2019
2019-01-31,27752.95,26443.7,1309.25,27334.55,35%,27792.7875,26876.3125,low,27800,2019-02-28,24,BANKNIFTY19FEB27800CE,CE,2019-02-04 09:20:00,117.3,2019-02-28 15:30:00,0.05,Expiry Closing,117.25,1.1735,116.0765,251.79856115107913,29523.381294964027,29227.895683453236,2.9523381294964026,2.9227895683453236,2019
2019-02-28,27588.5,26617.7,970.7999999999993,26941.0,35%,27280.78,26601.22,high,26600,2019-03-28,23,BANKNIFTY19MAR26600PE,PE,2019-03-05 12:48:00,173.05,2019-03-28 15:30:00,0.1,Expiry Closing,172.95000000000002,1.7315,171.2185,263.1578947368421,45513.15789473684,45057.5,4.5513157894736835,4.50575,2019
2019-04-30,30656.5,29437.1,1219.4000000000015,29699.8,35%,30126.59,29273.01,high,29300,2019-05-30,10,BANKNIFTY19MAY29300PE,PE,2019-05-20 09:15:00,375.9,2019-05-30 15:30:00,0.2,Expiry Closing,375.7,3.7609999999999997,371.93899999999996,238.90784982935153,89757.67918088737,88859.14675767918,8.975767918088737,8.885914675767918,2019
2019-04-30,30656.5,29437.1,1219.4000000000015,29699.8,35%,30126.59,29273.01,low,30100,2019-05-30,23,BANKNIFTY19MAY30100CE,CE,2019-05-07 15:11:00,730.5,2019-05-20 13:48:00,1136.95,SL Hit,-406.45000000000005,18.674500000000002,-425.12450000000007,232.5581395348837,-94523.2558139535,-98866.16279069768,-9.45232558139535,-9.886616279069768,2019
2019-05-31,31782.4,28526.1,3256.300000000003,31406.05,35%,32545.755,30266.344999999998,low,32500,2019-06-27,10,BANKNIFTY19JUN32500CE,CE,2019-06-17 14:45:00,6.0,2019-06-27 15:30:00,0.05,Expiry Closing,5.95,0.0605,5.8895,215.3846153846154,1281.5384615384617,1268.5076923076924,0.12815384615384617,0.12685076923076924,2019
2019-06-30,31752.7,30221.3,1531.4000000000015,31271.0,35%,31806.99,30735.01,low,31800,2019-07-25,17,BANKNIFTY19JUL31800CE,CE,2019-07-08 11:07:00,75.8,2019-07-25 15:30:00,0.05,Expiry Closing,75.75,0.7585,74.9915,220.125786163522,16674.528301886792,16507.562893081762,1.6674528301886793,1.6507562893081762,2019
2019-07-31,31658.1,28537.0,3121.0999999999985,28660.5,35%,29752.885,27568.115,low,29800,2019-08-29,24,BANKNIFTY19AUG29800CE,CE,2019-08-05 09:31:00,45.0,2019-08-29 15:30:00,0.05,Expiry Closing,44.95,0.45049999999999996,44.499500000000005,234.8993288590604,10558.724832214766,10452.90268456376,1.0558724832214768,1.045290268456376,2019
