Month,Month High,Month Low,Monthly Range,Current Month Open,Multiplier to Range,Entry Level Long,Entry Level Short,Break Type,Strike,Expiry,DTE,Contract,Option Type,Entry Time,Entry Price,Exit Time,Exit Price,Remark,Points,Slippage,Points w cs,Qty,PnL,PnL w cs,ROI%,ROI% w cs,Trade Year
2017-01-31,8006.75,7250.0,756.75,7920.95,10%,7996.625,7845.275,high,7850,2017-02-28,27,FINNIFTY17FEB7850PE,PE,2017-02-01 12:58:00,,2017-02-28 15:30:00,,Expiry Closing,,,,1019.108280254777,,,,,2017
2017-02-28,8460.8,7917.65,543.1499999999996,8317.35,10%,8371.665,8263.035,high,8250,2017-03-28,27,FINNIFTY17MAR8250PE,PE,2017-03-01 09:32:00,,2017-03-28 15:30:00,,Expiry Closing,,,,969.6969696969697,,,,,2017
2017-02-28,8460.8,7917.65,543.1499999999996,8317.35,10%,8371.665,8263.035,low,8350,2017-03-28,25,FINNIFTY17MAR8350CE,CE,2017-03-03 09:20:00,,2017-03-14 09:15:00,,SL Hit,,,,958.0838323353294,,,,,2017
2017-03-31,8823.6,8221.2,602.3999999999996,8775.5,10%,8835.74,8715.26,high,8700,2017-04-25,14,FINNIFTY17APR8700PE,PE,2017-04-11 14:30:00,,2017-04-25 15:30:00,,Expiry Closing,,,,919.5402298850574,,,,,2017
2017-03-31,8823.6,8221.2,602.3999999999996,8775.5,10%,8835.74,8715.26,low,8850,2017-04-25,15,FINNIFTY17APR8850CE,CE,2017-04-10 09:41:00,,2017-04-11 13:39:00,,SL Hit,,,,903.9548022598871,,,,,2017
2017-04-30,9149.25,8712.0,437.25,9089.75,10%,9133.475,9046.025,high,9050,2017-05-30,27,FINNIFTY17MAY9050PE,PE,2017-05-03 09:15:00,,2017-05-30 15:30:00,,Expiry Closing,,,,883.9779005524862,,,,,2017
2017-04-30,9149.25,8712.0,437.25,9089.75,10%,9133.475,9046.025,low,9150,2017-05-30,28,FINNIFTY17MAY9150CE,CE,2017-05-02 11:16:00,,2017-05-03 09:15:00,,SL Hit,,,,874.3169398907104,,,,,2017
2017-05-31,9529.2,9045.65,483.5500000000011,9480.95,10%,9529.305,9432.595000000001,high,9450,2017-06-27,25,FINNIFTY17JUN9450PE,PE,2017-06-02 09:15:00,,2017-06-27 15:30:00,,Expiry Closing,,,,846.5608465608466,,,,,2017
2017-05-31,9529.2,9045.65,483.5500000000011,9480.95,10%,9529.305,9432.595000000001,low,9550,2017-06-27,-3,FINNIFTY17JUN9550CE,CE,2017-06-30 09:20:00,,2017-06-27 15:30:00,,Expiry Closing,,,,837.696335078534,,,,,2017
2017-06-30,9784.35,9419.6,364.75,9496.75,10%,9533.225,9460.275,high,9450,2017-07-25,22,FINNIFTY17JUL9450PE,PE,2017-07-03 10:56:00,,2017-07-25 15:30:00,,Expiry Closing,,,,846.5608465608466,,,,,2017
